PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,GP,PTS,FG_PCT,REB,STL,BLK
1630182,Josh Green,DAL,1610612742,22,5.0,0.424,2.5,0.8,0.1
1627884,Derrick Jones Jr.,DAL,1610612742,22,9.1,0.481,3.5,0.5,1.0
1629029,Luka Dončić,DAL,1610612742,22,28.9,0.446,9.5,1.9,0.4
1629655,Daniel Gafford,DAL,1610612742,22,9.0,0.634,5.5,0.3,1.5
202681,Kyrie Irving,DAL,1610612742,22,22.1,0.467,3.7,1.0,0.3
1629023,P.J. Washington,DAL,1610612742,22,13.0,0.427,6.6,0.7,0.8
203957,Danté Exum,DAL,1610612742,21,2.0,0.364,0.8,0.1,0.0
1641726,Dereck Lively II,DAL,1610612742,21,7.9,0.674,7.4,0.4,1.0
1630202,Payton Pritchard,BOS,1610612738,19,6.4,0.419,1.9,0.2,0.0
201950,Jrue Holiday,BOS,1610612738,19,13.2,0.503,6.1,1.1,0.6
1628401,Derrick White,BOS,1610612738,19,16.7,0.452,4.3,0.9,1.2
1627759,Jaylen Brown,BOS,1610612738,19,23.9,0.516,5.9,1.2,0.6
1630573,Sam Hauser,BOS,1610612738,19,5.4,0.429,2.2,0.3,0.2
1630702,Jaden Hardy,DAL,1610612742,19,4.2,0.426,0.8,0.2,0.0
201143,Al Horford,BOS,1610612738,19,9.2,0.478,7.0,0.8,0.8
1628369,Jayson Tatum,BOS,1610612738,19,25.0,0.427,9.7,1.1,0.7
1627783,Pascal Siakam,IND,1610612754,17,21.6,0.541,7.5,0.8,0.4
1630174,Aaron Nesmith,IND,1610612754,17,10.5,0.433,4.9,0.6,0.5
1630167,Obi Toppin,IND,1610612754,17,10.9,0.541,4.4,0.4,0.4
204456,T.J. McConnell,IND,1610612754,17,11.8,0.486,3.1,0.9,0.1
1629614,Andrew Nembhard,IND,1610612754,17,14.9,0.56,3.3,0.4,0.2
1626167,Myles Turner,IND,1610612754,17,17.0,0.517,6.6,0.5,1.5
1641767,Ben Sheppard,IND,1610612754,17,5.2,0.437,3.0,0.5,0.1
1629638,Nickeil Alexander-Walker,MIN,1610612750,16,7.3,0.366,1.8,0.6,0.4
1630183,Jaden McDaniels,MIN,1610612750,16,12.2,0.514,3.8,0.9,1.1
1629675,Naz Reid,MIN,1610612750,16,11.1,0.458,3.7,0.5,0.8
1626157,Karl-Anthony Towns,MIN,1610612750,16,19.1,0.466,9.0,0.8,0.2
1630162,Anthony Edwards,MIN,1610612750,16,27.6,0.481,7.0,1.5,0.6
201144,Mike Conley,MIN,1610612750,15,11.6,0.428,3.9,1.4,0.2
203937,Kyle Anderson,MIN,1610612750,15,4.3,0.456,2.7,0.7,0.3
203497,Rudy Gobert,MIN,1610612750,15,12.1,0.615,9.8,0.9,1.0
1630169,Tyrese Haliburton,IND,1610612754,15,18.7,0.488,4.8,1.3,0.7
1630543,Isaiah Jackson,IND,1610612754,15,3.8,0.535,3.2,0.2,0.9
203501,Tim Hardaway Jr.,DAL,1610612742,14,4.4,0.379,1.8,0.4,0.1
1628973,Jalen Brunson,NYK,1610612752,13,32.4,0.444,3.3,0.8,0.2
1628392,Isaiah Hartenstein,NYK,1610612752,13,8.5,0.592,7.8,0.3,0.9
1628978,Donte DiVincenzo,NYK,1610612752,13,17.8,0.419,4.0,1.2,0.9
203939,Dwight Powell,DAL,1610612742,13,0.5,0.333,0.9,0.1,0.0
1630540,Miles McBride,NYK,1610612752,13,11.0,0.435,2.2,0.5,0.2
1628404,Josh Hart,NYK,1610612752,13,14.5,0.44,11.5,1.0,0.8
1628467,Maxi Kleber,DAL,1610612742,13,3.7,0.41,1.9,0.2,0.3
1628436,Luke Kornet,BOS,1610612738,13,3.0,0.667,3.2,0.1,0.4
1627750,Jamal Murray,DEN,1610612743,12,20.6,0.402,4.3,0.8,0.5
203484,Kentavious Caldwell-Pope,DEN,1610612743,12,8.1,0.395,2.9,1.4,0.4
203200,Justin Holiday,DEN,1610612743,12,2.9,0.314,1.7,0.5,0.0
1630171,Isaac Okoro,CLE,1610612739,12,5.5,0.357,1.8,0.9,0.3
1629636,Darius Garland,CLE,1610612739,12,15.7,0.427,3.6,1.1,0.2
203932,Aaron Gordon,DEN,1610612743,12,14.3,0.585,7.3,0.8,0.6
202704,Reggie Jackson,DEN,1610612743,12,3.5,0.333,1.3,0.2,0.1
1629622,Max Strus,CLE,1610612739,12,9.5,0.408,5.3,0.8,0.0
1631128,Christian Braun,DEN,1610612743,12,5.1,0.426,2.7,0.2,0.4
1630596,Evan Mobley,CLE,1610612739,12,16.0,0.555,9.3,0.8,2.2
1629008,Michael Porter Jr.,DEN,1610612743,12,15.8,0.466,6.8,0.9,0.8
203999,Nikola Jokić,DEN,1610612743,12,28.7,0.545,13.4,1.4,0.7
1627747,Caris LeVert,CLE,1610612739,11,10.1,0.431,3.6,0.8,0.5
1629652,Luguentz Dort,OKC,1610612760,10,10.7,0.363,4.6,1.3,0.2
1629052,Oshae Brissett,BOS,1610612738,10,1.6,0.545,1.4,0.3,0.2
1630581,Josh Giddey,OKC,1610612760,10,8.7,0.453,3.6,0.2,0.4
1631212,Peyton Watson,DEN,1610612743,10,1.8,0.25,1.5,0.0,0.6
1630241,Sam Merrill,CLE,1610612739,10,3.3,0.345,1.2,0.0,0.0
1628983,Shai Gilgeous-Alexander,OKC,1610612760,10,30.2,0.496,7.2,1.3,1.7
202684,Tristan Thompson,CLE,1610612739,10,1.5,0.438,2.0,0.1,0.5
1630639,A.J. Lawson,DAL,1610612742,10,1.1,0.444,0.3,0.0,0.1
203926,Doug McDermott,IND,1610612754,10,1.3,0.455,0.3,0.0,0.2
1631114,Jalen Williams,OKC,1610612760,10,18.7,0.469,6.8,1.7,0.5
1630598,Aaron Wiggins,OKC,1610612760,10,6.2,0.489,3.2,0.6,0.3
1641717,Cason Wallace,OKC,1610612760,10,4.2,0.39,1.3,0.9,0.2
1631119,Jaylin Williams,OKC,1610612760,10,4.4,0.485,3.2,0.4,0.3
1631096,Chet Holmgren,OKC,1610612760,10,15.6,0.496,7.2,0.7,2.5
1628378,Donovan Mitchell,CLE,1610612739,10,29.6,0.476,5.4,1.3,0.3
1627777,Georges Niang,CLE,1610612739,10,2.8,0.22,1.2,0.4,0.2
1630198,Isaiah Joe,OKC,1610612760,10,6.4,0.444,2.2,0.5,0.0
1630173,Precious Achiuwa,NYK,1610612752,9,5.2,0.488,4.2,0.4,1.3
1641716,Jarace Walker,IND,1610612754,9,0.9,0.3,0.4,0.2,0.1
1628384,OG Anunoby,NYK,1610612752,9,15.1,0.505,6.0,0.9,1.0
1628420,Monté Morris,MIN,1610612750,9,2.3,0.3,0.7,0.2,0.1
202694,Marcus Morris Sr.,CLE,1610612739,9,6.1,0.458,2.8,0.4,0.0
1629004,Svi Mykhailiuk,BOS,1610612738,8,1.0,0.25,0.6,0.1,0.0
1630214,Xavier Tillman,BOS,1610612738,8,1.5,0.625,1.8,0.4,0.4
204001,Kristaps Porziņģis,BOS,1610612738,7,12.3,0.467,4.4,0.7,1.6
202330,Gordon Hayward,OKC,1610612760,7,0.0,0.0,1.9,0.1,0.1
1628976,Wendell Carter Jr.,ORL,1610612753,7,7.6,0.404,6.3,0.7,0.6
204060,Joe Ingles,ORL,1610612753,7,1.6,0.333,1.9,0.4,0.0
1631094,Paolo Banchero,ORL,1610612753,7,27.0,0.456,8.6,1.1,0.6
1630175,Cole Anthony,ORL,1610612753,7,5.1,0.317,2.1,0.6,0.1
1631112,Kendall Brown,IND,1610612754,7,0.6,0.333,0.4,0.0,0.1
1630532,Franz Wagner,ORL,1610612753,7,18.9,0.408,6.9,0.7,1.3
1629021,Moritz Wagner,ORL,1610612753,7,6.3,0.444,4.4,0.9,0.4
1629026,Kenrich Williams,OKC,1610612760,7,0.6,0.25,1.1,0.1,0.0
1628371,Jonathan Isaac,ORL,1610612753,7,6.3,0.41,4.9,0.7,1.3
1630188,Jalen Smith,IND,1610612754,7,1.9,0.375,2.0,0.3,0.1
1628365,Markelle Fultz,ORL,1610612753,7,6.4,0.588,2.0,0.4,0.0
1630591,Jalen Suggs,ORL,1610612753,7,14.7,0.402,5.1,1.3,0.4
1630568,Luka Garza,MIN,1610612750,7,4.1,0.833,0.9,0.0,0.0
201566,Russell Westbrook,LAC,1610612746,6,6.3,0.26,4.2,1.2,0.5
1626192,Pat Connaughton,MIL,1610612749,6,4.5,0.44,3.8,1.0,0.2
201976,Patrick Beverley,MIL,1610612749,6,8.2,0.41,3.3,1.0,0.7
202331,Paul George,LAC,1610612746,6,19.5,0.411,6.8,1.2,0.5
201572,Brook Lopez,MIL,1610612749,6,17.7,0.587,4.3,0.0,1.3
1626171,Bobby Portis,MIL,1610612749,6,16.5,0.484,11.3,0.5,0.2
203486,Mason Plumlee,LAC,1610612746,6,3.2,0.389,3.3,0.5,0.3
1629611,Terance Mann,LAC,1610612746,6,9.3,0.413,5.0,0.0,0.0
200768,Kyle Lowry,PHI,1610612755,6,7.0,0.344,3.5,1.0,0.7
202699,Tobias Harris,PHI,1610612755,6,9.0,0.431,7.2,0.2,0.5
202692,Alec Burks,NYK,1610612752,6,14.8,0.5,3.3,0.2,0.2
203954,Joel Embiid,PHI,1610612755,6,33.0,0.444,10.8,1.2,1.5
1630178,Tyrese Maxey,PHI,1610612755,6,29.8,0.478,5.2,0.8,0.3
1631111,Wendell Moore Jr.,MIN,1610612750,6,1.2,0.429,0.3,0.2,0.0
1629599,Amir Coffey,LAC,1610612746,6,2.8,0.318,1.7,0.3,0.2
1630194,Paul Reed,PHI,1610612755,6,1.5,0.444,2.7,0.2,0.5
1627826,Ivica Zubac,LAC,1610612746,6,16.2,0.6,9.3,0.8,0.5
201587,Nicolas Batum,PHI,1610612755,6,6.3,0.414,5.8,0.2,0.8
201935,James Harden,LAC,1610612746,6,21.2,0.449,4.5,1.0,1.0
203914,Gary Harris,ORL,1610612753,6,4.2,0.286,2.0,1.2,0.5
1629011,Mitchell Robinson,NYK,1610612752,6,2.8,0.5,6.8,1.0,1.2
1627736,Malik Beasley,MIL,1610612749,6,8.8,0.512,2.5,0.7,0.0
203114,Khris Middleton,MIL,1610612749,6,24.7,0.482,9.2,0.5,0.2
1629162,Jordan McLaughlin,MIN,1610612750,6,0.7,0.222,0.7,0.0,0.0
1631260,AJ Green,MIL,1610612749,6,2.8,0.375,1.5,0.0,0.0
1626162,Kelly Oubre Jr.,PHI,1610612755,6,13.2,0.484,4.0,1.8,1.2
1626181,Norman Powell,LAC,1610612746,6,12.8,0.426,2.8,0.5,0.0
1631107,Nikola Jović,MIA,1610612748,5,9.4,0.444,6.6,1.0,0.6
1629130,Duncan Robinson,MIA,1610612748,5,2.6,0.313,1.0,0.4,0.0
1626156,D'Angelo Russell,LAL,1610612747,5,14.2,0.384,2.8,0.8,0.2
1629216,Gabe Vincent,LAL,1610612747,5,1.4,0.25,1.6,0.4,0.0
1629639,Tyler Herro,MIA,1610612748,5,16.8,0.385,3.6,0.4,0.0
201567,Kevin Love,MIA,1610612748,5,1.8,0.444,2.8,0.0,0.0
1629312,Haywood Highsmith,MIA,1610612748,5,4.8,0.357,2.8,0.2,0.2
1626166,Cameron Payne,PHI,1610612755,5,5.6,0.4,1.2,0.2,0.8
1627752,Taurean Prince,LAL,1610612747,5,7.4,0.414,2.4,0.2,0.4
1630579,Jericho Sims,NYK,1610612752,5,1.4,1.0,1.6,0.4,0.2
1641748,Andre Jackson Jr.,MIL,1610612749,5,2.4,0.455,2.2,1.0,0.2
2544,LeBron James,LAL,1610612747,5,27.8,0.566,6.8,2.4,1.0
203915,Spencer Dinwiddie,LAL,1610612747,5,3.0,0.357,1.4,0.4,0.2
1631169,Josh Minott,MIN,1610612750,5,1.2,0.222,1.0,0.0,0.0
1630559,Austin Reaves,LAL,1610612747,5,16.8,0.476,3.8,1.4,0.6
1628389,Bam Adebayo,MIA,1610612748,5,22.6,0.495,9.4,0.4,0.0
1628997,Caleb Martin,MIA,1610612748,5,11.6,0.467,3.6,0.6,0.0
1629060,Rui Hachimura,LAL,1610612747,5,7.8,0.395,3.8,0.0,0.0
203076,Anthony Davis,LAL,1610612747,5,27.8,0.634,15.6,0.4,1.6
